,conta,tipo,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
0,RECEITA OPERACIONAL BRUTA,+,491038.13,374888.74,412270.36,405310.0,385637.69,484241.16,534372.56,533729.68,615563.73,628447.74,508869.62,457431.21
1,VENDAS DE SERVICOS,+,1175.24,1115.68,1184.21,1377.11,1352.39,1503.8,1098.69,1081.92,1169.05,1315.66,1265.66,1343.11
2,Servicos Prestados,+,1997.29,2221.32,2372.57,2748.21,2266.18,2335.35,1676.71,2378.34,1744.99,1598.62,2247.76,1764.0
3,REVENDA DE MERCADORIAS,+,382561.37,430642.35,337273.41,396933.13,394087.08,447313.9,395089.93,267580.68,438914.85,286425.55,483723.75,476373.76
4,Revendas de Mercadorias,+,250921.48,344705.2,317061.73,242932.67,223214.05,318647.29,263016.27,282558.45,273671.43,357638.05,277429.11,253077.73
5,(-) DEDUÇÕES  DE VENDAS,-,183626.26,186976.63,170380.8,189798.57,166884.24,174710.59,192425.96,247404.16,266467.98,200632.44,233233.48,198656.57
6,CANCELAMENTO/DEVOLUCOES VENDAS,-,4332.57,4434.19,3670.43,4159.2,3695.18,3724.5,3905.05,3280.53,2782.21,2471.59,4184.34,3605.0
7,Devolucão de Revendas,-,4013.21,3997.16,5450.51,4281.64,4139.15,4304.98,5609.99,4901.57,4614.15,7039.88,6188.76,6091.22
8,IMPOSTOS S/ VENDAS,-,98203.91,114091.77,81682.97,143386.96,126884.12,111454.76,151440.65,102920.57,105139.06,113965.09,111804.95,100890.57
9,I.P.I. s/ Revendas,-,41705.71,29068.44,32843.7,34354.37,30552.71,38124.3,39606.55,50768.02,34001.79,41319.86,39151.58,45254.15
10,Pis s/ Revendas,-,3517.39,2637.19,3034.37,3677.2,3767.03,4219.72,3766.73,4228.53,3819.4,3454.33,4471.3,3730.15
11,Cofins s/ Revendas,-,14513.17,13338.68,17912.92,16383.0,18415.95,10972.89,10902.49,18384.43,15856.7,14718.68,12089.19,16177.85
12,ICMS ST- INTERESTADUAL,-,366.73,331.46,361.81,401.51,356.57,544.41,635.07,479.7,542.89,581.48,643.77,395.49
13,ICMS s/ Devolução de Revendas,+,377.51,446.87,446.34,411.38,429.82,349.01,410.99,443.49,401.01,450.31,451.21,507.88
14,IPI s/ Devolução de Revendas,+,380.42,550.65,424.77,353.33,298.61,294.27,427.47,313.67,382.17,360.33,295.21,437.36
15,ICMS s/Revenda,-,110664.91,80045.82,119378.83,70651.16,89829.94,92159.87,84624.08,85291.07,95105.39,95133.92,91515.46,88612.7
16,IMPOSTOS S/SERVICOS,-,221.13,215.33,232.62,208.95,222.18,206.21,190.74,256.6,227.59,210.32,192.95,211.02
17,ISS s/Serviços,-,115.13,140.33,120.94,94.21,118.77,132.29,155.09,143.08,116.73,145.18,100.08,119.34
18,Pis s/Serviços,-,14.04,15.48,13.26,9.07,13.07,6.96,7.43,11.45,10.06,13.27,12.63,11.22
19,Cofins s/Serviços,-,60.59,90.89,77.94,74.12,71.5,97.33,68.2,86.98,76.45,83.85,76.86,79.27
20,(=) RECEITA LIQUIDA OPERACIONAL,+,389206.67,368582.11,395480.3,303084.49,261136.71,363476.31,467945.14,346546.42,341287.26,331444.42,363420.9,336738.83
21,CUSTO DE VENDAS/SERVIÇOS,-,291769.35,303390.55,412657.56,323727.4,320665.43,442455.62,442318.55,325389.81,363855.0,270064.45,341336.37,352130.27
22,Entradas Comerciais,-,230000.08,203447.48,203641.67,261057.98,246620.32,173749.11,213445.1,192891.65,293342.92,211883.97,260775.22,207875.87
23,(=) LUCRO BRUTO OPERACIONAL,+,68420.31,61813.43,71081.89,59964.19,44764.48,51148.04,53678.8,55828.32,60353.7,56045.93,48407.34,67247.38
24,DESPESAS/RECEITAS OPERACIONAIS,-,244920.48,356692.84,208957.11,323863.35,331991.38,154312.22,216898.16,221499.18,225993.89,192847.89,252702.54,209145.49
25,Despesas Administrativas,-,185523.25,182029.91,145127.68,212130.39,131715.32,165227.16,135305.38,120537.74,218217.99,210160.73,187815.23,179546.16
26,Despesas Tributárias,-,2603.55,1921.28,2261.72,1933.63,2833.51,2207.94,1713.71,2335.37,2436.32,3001.37,1701.46,2174.06
27,Despesas Financeiras,-,1946.52,1793.67,2106.73,1654.76,1540.31,1519.3,1796.61,1480.64,2134.1,1919.31,2423.41,1657.05
28,Receitas Financeiras,+,1709.21,1604.85,1164.8,1573.55,1842.18,1932.2,2076.84,2139.67,1514.69,1467.43,1547.71,1189.24
29,(=) RESULTADO OPERACIONAL,-,97057.44,104142.97,90369.91,83669.89,111867.53,95527.82,127036.86,99484.04,87204.6,92869.85,69121.8,83981.22
30,(=) RESULTADO ANTES DAS PROVISÔES IRPJ/CSLL,-,215208.89,136050.65,185953.0,174127.63,177227.24,206247.55,205721.36,245059.54,226722.74,221802.58,187051.33,189563.93
31,LUCRO/PREJUIZO LIQUIDO,-,74908.12,73197.99,80281.22,75741.7,53809.38,54794.58,65177.56,44992.42,58208.96,63402.86,59336.12,66569.16
