,conta,JUL,nivel,tipo,AGO,OUT,NOV,DEZ
0,RECEITA OPERACIONAL BRUTA,568587.96,1,+,569933.45,544138.12,643326.7,465926.5
1,VENDAS DE SERVICOS,2737.93,2,+,2881.32,2619.28,2643.42,3138.17
2,Servicos Prestados,2737.93,3,+,2253.12,2115.88,1723.42,2319.45
3,REVENDA DE MERCADORIAS,565850.03,2,+,645761.49,584693.19,515786.79,614415.33
4,Revendas de Mercadorias,565850.03,3,+,469568.02,433656.07,456187.45,388204.37
5,(-) DEDUÇÕES  DE VENDAS,144264.89,1,-,115599.65,95217.42,89573.05,109301.4
6,CANCELAMENTO/DEVOLUCOES VENDAS,6210.89,2,-,6039.66,6772.6,5752.98,7433.64
7,Devolucão de Revendas,6210.89,3,-,5772.41,5840.95,6607.1,5601.26
8,IMPOSTOS S/ VENDAS,137867.34,2,-,115026.04,93493.74,90037.51,80854.29
9,I.P.I. s/ Revendas,27860.89,3,-,22347.73,22887.94,24790.5,23598.53
10,Pis s/ Revendas,2847.91,3,-,2836.85,3145.67,3721.36,3774.66
11,Cofins s/ Revendas,13144.2,3,-,11613.18,11684.57,11944.76,12595.45
12,ICMS ST- INTERESTADUAL,640.05,3,-,626.48,663.06,742.8,696.44
13,ICMS s/ Devolução de Revendas,248.44,3,+,218.2,202.33,228.36,219.97
14,IPI s/ Devolução de Revendas,307.0,3,+,324.33,327.33,279.76,285.76
15,ICMS s/Revenda,93929.73,3,-,111854.4,118351.05,135604.0,108412.68
16,IMPOSTOS S/SERVICOS,186.66,2,-,159.24,133.9,122.42,122.44
17,ISS s/Serviços,109.52,3,-,118.5,135.32,123.3,144.58
18,Pis s/Serviços,13.74,3,-,14.0,15.32,13.41,16.84
19,Cofins s/Serviços,63.4,3,-,62.8,72.77,87.26,63.82
20,(=) RECEITA LIQUIDA OPERACIONAL,424323.07,1,+,464894.37,551582.43,661516.09,511297.03
21,CUSTO DE VENDAS/SERVIÇOS,365901.0,1,-,333938.22,329017.22,278589.12,379225.36
22,Entradas Comerciais,365901.0,3,-,428300.88,454389.74,442926.4,472749.58
23,(=) LUCRO BRUTO OPERACIONAL,58422.07,1,+,68658.07,73752.01,70212.2,83999.08
24,DESPESAS/RECEITAS OPERACIONAIS,180127.92,2,-,199585.17,180235.38,200108.85,162368.78
25,Despesas Administrativas,178158.63,3,-,171080.18,181217.3,204087.38,212706.08
26,Despesas Tributárias,2063.94,3,-,2346.69,2359.52,2496.37,2387.42
27,Despesas Financeiras,2302.95,3,-,1923.6,1788.92,1906.04,1998.22
28,Receitas Financeiras,2397.6,3,+,2497.66,2949.32,2385.95,2608.15
29,(=) RESULTADO OPERACIONAL,121705.85,1,-,123526.48,117258.89,131560.59,95746.14
30,(=) RESULTADO ANTES DAS PROVISÔES IRPJ/CSLL,121705.85,1,-,131816.5,123990.8,110697.1,133089.15
31,LUCRO/PREJUIZO LIQUIDO,121705.85,1,-,106121.3,113469.57,92890.54,98898.92
