,conta_contabil,cod_r,nome_conta,saldo_ant,deb,cred,saldo_atual
0,1.0.00.00.00.000000,1.0,A T I V O,1981024.31,15456555.78,15540276.53,2064745.06
1,1.1.00.00.00.000000,11.0,ATIVO CIRCULANTE,1863033.39,15861456.5,15741205.33,1742782.22
2,1.1.01.00.00.000000,12.0,CAIXA E EQUIVALENTE DE CAIXA,352500.72,5352820.17,5734659.1,734339.6499999997
3,1.1.01.01.00.000000,13.0,CAIXA GERAL,811.97,17181.97,16255.88,-114.12000000000194
4,1.1.01.01.01.000001,15.0,CAIXA,877.62,18600.13,16574.5,-1148.0100000000011
5,1.1.01.02.00.000000,114.0,BANCOS C/MOVIMENTO,285178.81,4495387.38,5293433.55,1083224.98
6,1.1.01.02.01.000000,1946.0,BANCOS C/MOVIMENTO,277592.68,4901348.88,5095428.83,471672.6300000002
7,1.1.01.02.01.000004,11758.0,BANCO ITAU,317516.79,3965694.39,4686488.32,1038310.7200000002
8,1.1.01.02.01.000001,118.0,BCO DO BRASIL S/A,0.0,485463.04,524257.57,38794.53000000003
9,1.1.01.03.00.000000,115.0,APLICACOES FINANCEIRAS,90156.06,365649.4,436080.31,160586.96999999997
10,1.1.01.03.01.000000,1947.0,APLICACOES FINANCEIRAS,97004.11,333229.03,380645.82,144420.89999999997
11,1.1.01.03.01.000070,17188.0,APLICACAO ITAU,87768.22,249620.9,283788.86,121936.18
12,1.1.01.03.01.148304,136049.0,APLICAÇÃO BB AUTOMATICO,31.86,2.01,32.79,62.64
13,1.1.01.03.01.148305,136050.0,APLICAÇÃO BB AUTOMATICO EMPRESA,839.9,7777.46,7468.35,530.7900000000003
14,1.1.01.03.01.000001,121.0,BANCO DO BRASIL S/A,0.0,110852.51,81938.03,-28914.479999999996
15,1.1.02.00.00.000000,110.0,CREDITOS POR VENDAS/SERVICOS,311686.19,9341575.87,9589811.48,559921.8000000012
16,1.1.02.02.00.000000,125.0,CLIENTES,350359.27,9294823.74,9434383.12,489918.649999999
17,1.1.02.02.01.000000,1959.0,CLIENTES,340800.56,10513426.55,9941295.02,-231330.9700000012
18,1.1.02.02.01.000001,134.0,CLIENTES,311941.1,4708578.79,3728272.94,-668364.7500000001
19,1.1.02.02.01.000003,11448.0,CLIENTES REMESSAS - C,0.0,2740816.57,2521120.07,-219696.5
20,1.1.02.02.01.000002,11447.0,CLIENTES REMESSAS - D,0.0,2559921.61,2780901.58,220979.9700000002
21,1.1.03.00.00.000000,111.0,CREDITOS DIVERSOS,64696.29,190078.4,267023.06,141640.95
22,1.1.03.03.00.000000,141.0,ADIANTAMENTOS A EMPREGADOS,0.0,37156.18,39626.15,2469.970000000001
23,1.1.03.03.01.000000,1952.0,ADIANTAMENTOS A EMPREGADOS,0.0,38669.56,36561.09,-2108.470000000001
24,1.1.03.03.01.000003,172.0,ADIANTAMENTO DE FERIAS,0.0,6583.31,5684.66,-898.6500000000005
25,1.1.03.03.01.000005,11762.0,ADIANTAMENTO DE RESCISAO,0.0,2733.45,3043.37,309.9200000000001
26,1.1.03.03.01.000001,170.0,ADIANTAMENTOS E VALES,0.0,28460.57,30453.87,1993.2999999999993
27,1.1.03.04.00.000000,142.0,ADIANTAMENTOS A FORNECEDORES,38978.95,32050.29,48204.05,55132.71
